"ligne";"temps";"gare"
"1";0.00;"Grande Arche de la Défense"
"1";56.00;"Esplanade de la Défense"
"1";109.00;"Pont de Neuilly"
"1";166.00;"Les Sablons"
"1";223.00;"Porte Maillot"
"1";293.00;"Argentine"
"1";378.00;"Charles de Gaulle, Étoile"
"1";469.00;"George V"
"1";559.00;"Franklin D. Roosevelt"
"1";652.00;"Champs Élysées, Clémenceau"
"1";735.00;"Concorde"
"1";821.00;"Tuileries"
"1";879.00;"Palais Royal, Musée du Louvre"
"1";931.00;"Louvre, Rivoli"
"1";1008.00;"Châtelet"
"1";1140.00;"Hôtel de Ville"
"1";1238.00;"Saint-Paul, Le Marais"
"1";1331.00;"Bastille"
"1";1480.00;"Gare de Lyon"
"1";1543.00;"Reuilly Diderot"
"1";1640.00;"Nation"
"1";1771.00;"Porte de Vincennes"
"1";1832.00;"Saint-Mandé, Tourelle"
"1";1918.00;"Bérault"
"1";1980.00;"Château de Vincennes"
"10";0.00;"Boulogne, Pont de Saint-Cloud, Rond Point Rhin et Danude"
"10";66.00;"Boulogne, Jean Jaurès"
"10";247.00;"Michel Ange Molitor"
"10";319.00;"Chardon Lagâche"
"10";352.00;"Mirabeau"
"10";431.00;"Javel"
"10";520.00;"Charles Michels"
"10";591.00;"Avenue Émile Zola"
"10";646.00;"La Motte Picquet, Grenelle"
"10";702.00;"Ségur"
"10";795.00;"Duroc"
"10";849.00;"Vaneau"
"10";906.00;"Sèvres Babylone"
"10";1030.00;"Mabillon"
"10";1083.00;"Odéon"
"10";1173.00;"Cluny, La Sorbonne"
"10";1248.00;"Maubert Mutualité"
"10";1319.00;"Cardinal Lemoine"
"10";1397.00;"Jussieu"
"10";1500.00;"Gare d'Austerlitz"
"11";0.00;"Mairie des Lilas"
"11";64.00;"Porte des Lilas"
"11";136.00;"Télégraphe"
"11";165.00;"Place des Fêtes"
"11";227.00;"Jourdain"
"11";268.00;"Pyrénées"
"11";316.00;"Belleville"
"11";375.00;"Goncourt"
"11";437.00;"République"
"11";535.00;"Arts et Métiers"
"11";583.00;"Rambuteau"
"11";674.00;"Hôtel de Ville"
"11";780.00;"Châtelet"
"12";0.00;"Porte de la Chapelle"
"12";116.00;"Marx Dormoy"
"12";233.00;"Marcadet Poissonniers"
"12";318.00;"Jules Joffrin"
"12";394.00;"Lamarck Caulaincourt"
"12";474.00;"Abbesses"
"12";544.00;"Pigalle"
"12";591.00;"Saint-Georges"
"12";654.00;"Notre Dame de Lorette"
"12";705.00;"Trinité d'Estienne d'Orves"
"12";826.00;"Saint-Lazare"
"12";1075.00;"Madeleine"
"12";1146.00;"Concorde"
"12";1253.00;"Assemblée Nationale"
"12";1302.00;"Solférino"
"12";1360.00;"Rue du Bac"
"12";1410.00;"Sèvres Babylone"
"12";1590.00;"Montparnasse Bienvenue"
"12";1652.00;"Falguière"
"12";1702.00;"Pasteur"
"12";1772.00;"Volontaires"
"12";1854.00;"Vaugirard"
"12";1940.00;"Convention"
"12";2010.00;"Porte de Versailles"
"12";2085.00;"Corentin Celton"
"12";2159.00;"Mairie d'Issy"
"13";0.00;"Saint-Denis-Université"
"13";134.00;"Basilique de Saint-Denis"
"13";202.00;"Saint-Denis-Porte de Paris"
"13";313.00;"Carrefour Pleyel"
"13";434.00;"Mairie de Saint-Ouen"
"13";512.00;"Garibaldi"
"13";580.00;"Porte de Saint-Ouen"
"13";695.00;"Guy Môquet"
"13";829.00;"La Fourche"
"13";947.00;"Place de Clichy"
"13";1286.00;"Miromesnil"
"13";1414.00;"Champs Élysées, Clémenceau"
"13";1527.00;"Invalides"
"13";1627.00;"Varenne"
"13";1670.00;"Saint-Francois Xavier"
"13";1779.00;"Duroc"
"13";1987.00;"Montparnasse Bienvenue"
"13";2074.00;"Gaité"
"13";2140.00;"Pernety"
"13";2210.00;"Plaisance"
"13";2275.00;"Porte de Vanves"
"13";2360.00;"Malakoff-Plateau de Vanves"
"13";2424.00;"Malakoff-Rue Étienne Dolet"
"13";2519.00;"Châtillon-Montrouge"
"14";0.00;"Madeleine"
"14";77.00;"Pyramides"
"14";220.00;"Châtelet"
"14";533.00;"Gare de Lyon"
"14";621.00;"Bercy"
"14";664.00;"Cour Saint-Émilion"
"14";720.00;"Bibliothèque François Mitterand"
"2";0.00;"Porte Dauphine"
